baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FABP7	535.858727005713	-3.609796560547	0.307903202696639	-11.7238032242995	9.62517128604093e-32	2.65852166905725e-29
STIL	937.611048598362	-1.20510331879626	0.102819376693437	-11.7205857256785	9.99783373204568e-32	2.72649784712902e-29
BRD7	1429.96066166299	-0.53617740661377	0.0457969435044819	-11.7077115978558	1.16378352479871e-31	3.13406903228292e-29
SLC6A17	120.740578058366	-2.11559148971656	0.181487780188509	-11.6569362825372	2.11516939882768e-31	5.62582833683254e-29
FZD9	45.1510651753619	-2.15831505151348	0.185322277126942	-11.646279578332	2.39696715279933e-31	6.29759272437912e-29
SUV39H2	660.007248729914	-0.887717389326604	0.076254454128693	-11.6415152330436	2.53471992078812e-31	6.57927782812763e-29
MCM10	673.54098836491	-1.50785699271205	0.129535649095808	-11.6404789201836	2.56570838977504e-31	6.58043113682304e-29
PAPL	17.420239392827	-2.83390857992327	0.244387044797675	-11.5959853038422	4.3186664887467e-31	1.09460412745363e-28
P4HA1	4651.678589161	-0.905677530272758	0.0783264800801553	-11.5628524267391	6.35617209127351e-31	1.59229501784182e-28
GPR144	42.803994788139	3.23094551672975	0.279652417903805	11.5534331544422	7.0929320135867e-31	1.75643824483577e-28
HIST1H2AG	43.8712836779318	-2.00131246513367	0.173255125315218	-11.5512453758151	7.27584094773371e-31	1.78125815202244e-28
CTSL2	526.776983106209	-1.82823693577007	0.15831204389598	-11.5483123758501	7.52841985996335e-31	1.82238514003428e-28
RPN2	25711.0222256477	-0.662487291595918	0.0574166192655748	-11.5382497275162	8.46297075369547e-31	2.02584713241795e-28
GTPBP4	4054.1444414719	-0.796991482372789	0.0692482123733509	-11.509199372192	1.18574085291919e-30	2.80720889398802e-28
XPOT	3874.00070784316	-0.684435512047656	0.0595092293065875	-11.5013338270857	1.29892455005422e-30	3.04174244634437e-28
MTCH2	5195.49219295989	-0.516709254340135	0.0450514384140594	-11.469317574084	1.88137065142471e-30	4.35830637788107e-28
KRT9	21.8663056772401	-2.80206296298584	0.244786903365371	-11.4469480370992	2.43570763619806e-30	5.58014642017697e-28
STIP1	7697.64984644283	-0.744109165510259	0.0650103580456711	-11.4460093418884	2.46221876434267e-30	5.58014642017697e-28
SOX11	722.352500174973	-2.3911120957973	0.208919099642077	-11.4451579577635	2.48651158715647e-30	5.58014642017697e-28
NCCRP1	895.745734403318	-2.81579694756924	0.246187442963265	-11.4376140134386	2.71242639928534e-30	6.024382922289e-28
SLC38A3	296.554901401194	-2.1670946084883	0.189528332506278	-11.4341459128097	2.82300850523116e-30	6.20600971803063e-28
KIF1A	565.529799086971	-3.01881428025327	0.264583928929394	-11.4096660839097	3.74162885169165e-30	8.14238908897423e-28
EGR3	2436.19638143921	1.73581587965913	0.152177466529164	11.4065237071513	3.87924653669913e-30	8.35744873866461e-28
ORC1	342.609373272706	-1.24977022095945	0.109689040224748	-11.3937565539705	4.49197101439559e-30	9.58168549842957e-28
SBSN	53.4944159902918	-2.93902464661355	0.258444271658139	-11.3719860291629	5.76604724013451e-30	1.21787962491625e-27
SLC6A15	92.1869446214761	-3.14386568014732	0.276502720627502	-11.3701075816272	5.89149296977521e-30	1.23229441301784e-27
DCAF13	3005.70227846769	-0.823097566279908	0.0724687800254005	-11.3579608486773	6.7706578801653e-30	1.40256782086809e-27
LINC00511	9.90159327112481	-2.41948630565135	0.213347911126314	-11.3405671181794	8.26073826145107e-30	1.6949461438543e-27
USHBP1	193.462586260917	1.17418392615172	0.10372266384576	11.3204181479352	1.03974785977864e-29	2.11323848028972e-27
XPO5	4031.90071578837	-0.692351662844032	0.0611794791433249	-11.3167302588841	1.08441515562899e-29	2.18342430961412e-27
FAM83D	972.127510004183	-1.47317297362482	0.130298887936473	-11.3061055006322	1.2240279888536e-29	2.44170916591314e-27
FANCA	608.202631689679	-1.10810900882054	0.0980925252641941	-11.2965692934916	1.36444811176604e-29	2.69685046971445e-27
SRPK1	4058.94474847155	-0.727383116022586	0.0644521415464879	-11.2856314556738	1.54527878596278e-29	3.02649874225293e-27
C15orf42	477.131815512208	-1.34952653747394	0.119756695758754	-11.2689025772097	1.86884636373283e-29	3.61302312142167e-27
KARS	6267.72234222262	-0.581411698553704	0.0515976199688642	-11.2681883176888	1.8840663867293e-29	3.61302312142167e-27
PGK1	16370.4526803965	-0.716112374176941	0.0635545764444401	-11.2676759761427	1.89505947233869e-29	3.61302312142167e-27
CKAP5	9229.22076790677	-0.707559725650655	0.062894146170492	-11.2500092414422	2.31567799872443e-29	4.37622515829114e-27
DEPDC1	577.615794836851	-1.41012004276435	0.125532515098636	-11.2331059539145	2.80443623590454e-29	5.25380645794152e-27
GJB3	211.665494940776	-2.58501285158781	0.230288697617393	-11.2250964911991	3.07051097405695e-29	5.70268003664508e-27
COL22A1	402.768613346099	-1.99060193518385	0.177538411713563	-11.212232417599	3.55121871305053e-29	6.53909879948381e-27
BUB1	1343.8708816695	-1.24298294925639	0.110983990773078	-11.1996598842605	4.09301855514753e-29	7.4728806569575e-27
LY6D	249.72454099872	-3.26081281814366	0.291183860362173	-11.1984668864816	4.14850521612179e-29	7.51053751059898e-27
LIN28A	18.2919078992166	-2.8722077845255	0.256590812671299	-11.1937280786623	4.37637603055426e-29	7.85705376685508e-27
AURKA	1131.76960013278	-1.26092160778355	0.112668233755786	-11.1914562405998	4.4899816152927e-29	7.99439371238562e-27
GSG2	156.829268831814	-1.13354081672859	0.1015653327682	-11.1607059794275	6.34854127924122e-29	1.12108994524568e-26
NUDCD1	1718.70870873925	-0.814609549484264	0.0730181384185329	-11.1562629112098	6.67383728489581e-29	1.16895244281134e-26
KRT75	47.9385725241023	-2.64125718745804	0.237341364389205	-11.1285160690606	9.11400954118976e-29	1.58348565770478e-26
TUBB4A	93.2833229624112	-1.77628985961761	0.159865313688686	-11.1111648839389	1.1070581300622e-28	1.89357839884812e-26
TESC	186.192582018608	1.53822471659571	0.138439956855901	11.1111325915596	1.10745858826059e-28	1.89357839884812e-26
ORM2	167.166705120441	-3.01704249754071	0.272093527544534	-11.088255295036	1.4305052720285e-28	2.42667760477024e-26
MAP1LC3B2	594.851442191694	-0.536516389153764	0.0484287909699933	-11.0784592885293	1.59595191519705e-28	2.68618656726603e-26
PRR11	1460.43944029677	-1.39838989225307	0.126287813039222	-11.0730391048799	1.69551184274954e-28	2.8316362124183e-26
KRT3	7.79243781790584	-2.43302885682543	0.219898667690314	-11.0643183170709	1.86878367727243e-28	3.0970058110121e-26
ANKRD1	31.7514525715035	-2.25579511869697	0.204117596995574	-11.0514485370209	2.15705930411341e-28	3.52949483287997e-26
POLR2D	1510.55632776123	-0.462932217442068	0.0418896873978753	-11.0512215821775	2.16252004242553e-28	3.52949483287997e-26
SQLE	4937.56542526813	-1.11684966814289	0.101161692333889	-11.0402430245698	2.44371321602051e-28	3.95844793428164e-26
DLX6	16.0775626896249	-2.61231029455456	0.236695722266684	-11.0365758600879	2.54549551406643e-28	4.09254890709307e-26
FBXO45	1875.4263503556	-0.672355170931734	0.0609864987274659	-11.0246560297932	2.90627427179433e-28	4.63798317863237e-26
YWHAG	13272.6627186621	-0.536988997865371	0.0488620455807691	-10.9899000642068	4.27399066425129e-28	6.77050403460513e-26
CDC123	4034.86152734945	-0.67801143896386	0.0616986421496886	-10.9890820177034	4.31290263082319e-28	6.78227549477773e-26
CPLX2	24.0564473472857	-3.37256860396286	0.306999156829841	-10.9855956569684	4.48271649873732e-28	6.99823509049252e-26
PSME4	7375.97392157533	-0.699894365837758	0.0637380681595815	-10.9807903823729	4.72769147833517e-28	7.32758166973042e-26
ITIH2	61.7320678675126	1.95624753136899	0.1781848453199	10.9787537085821	4.83548664394635e-28	7.44112316122715e-26
PSMD11	4195.75242981305	-0.752435184348646	0.06869969694406	-10.9525255251319	6.46203453198998e-28	9.87362212462355e-26
MELK	1034.05336706644	-1.32350296302622	0.1209753903554	-10.9402661081568	7.39824369981343e-28	1.12244903006183e-25
PSMG1	1362.95780786595	-0.828768130474791	0.0757978088006291	-10.9339325712528	7.93340990069519e-28	1.19522645385019e-25
CENPA	375.52230338618	-1.37286784213282	0.125638508042478	-10.9271262730107	8.55137476344546e-28	1.27938067988659e-25
FAM123B	608.887556980619	-0.949565205844904	0.0869148229733056	-10.9252389104738	8.73103296740729e-28	1.29054030865043e-25
CEP55	1217.16268479435	-1.24627748424347	0.11407484638062	-10.9250857992406	8.74577075115867e-28	1.29054030865043e-25
KANK3	468.220452727899	0.987485946434884	0.0904014398155363	10.9233431287139	8.91526078370172e-28	1.30660121308891e-25
HIST1H2BJ	81.2478846350467	-1.52146726647472	0.139441849131063	-10.9111237118253	1.01987785997692e-27	1.48461139292856e-25
CCKBR	14.2173542178346	-2.95652736681844	0.271106307099879	-10.9054171348703	1.08594052740782e-27	1.57016796795128e-25
GFRA3	47.1626269511301	-2.26895410511517	0.208079803649688	-10.9042495490579	1.09997134205253e-27	1.57985217287865e-25
PSMC2	5534.84075510297	-0.438188123968324	0.0401913520590516	-10.9025474764947	1.12074773706481e-27	1.59903240048504e-25
PSMD1	7244.76374997558	-0.472966550527101	0.0433904576042511	-10.9002434323431	1.14949339427649e-27	1.6292556372561e-25
MCM4	7184.89334481847	-0.914602606463896	0.084190693754904	-10.8634644243043	1.72093913089504e-27	2.42326226379103e-25
LIN28B	5.99121424371735	-4.19671591442363	0.386366947622718	-10.8619951583479	1.74885876992027e-27	2.44658528176379e-25
FADS6	8.27221742155457	-2.89174077013991	0.266415000240149	-10.8542715970695	1.90318087954803e-27	2.64529863670856e-25
C11orf86	12.440277455034	-4.05095517186321	0.373300710556401	-10.851721031619	1.95705166916679e-27	2.70273853593137e-25
CCT5	14165.8552380607	-0.669548635259605	0.0617113158538522	-10.8496898177518	2.00103258014083e-27	2.74587553544931e-25
FADS1	1555.72561615696	-1.24884033531415	0.115128994940277	-10.8473137975536	2.05372463981412e-27	2.80034453418705e-25
ULBP1	76.40605065953	-1.8070047477435	0.166853962873068	-10.8298581383899	2.48540070422595e-27	3.36763979697132e-25
LTBP4	3806.97963218819	0.902136622378826	0.0833736338553795	10.8204066521039	2.75552032130957e-27	3.71030811264333e-25
IGF2BP3	66.95055976039	-1.80313438685722	0.166729120776865	-10.8147537662024	2.93078653386619e-27	3.92179286246044e-25
DMRTA2	7.98450877016891	-2.608017844862	0.241565275979556	-10.7963275528173	3.58247266571142e-27	4.76407141748067e-25
LEMD1	49.791373051957	-2.93052395713151	0.271451237715617	-10.7957656844492	3.60445433090118e-27	4.76407141748067e-25
PFN2	5412.42097272473	-1.06139812001472	0.0983733685316949	-10.7894863808872	3.85940411745237e-27	5.06430691314118e-25
PDIA6	10251.2732715048	-0.693737706153911	0.0643002862543036	-10.789029825003	3.87862347135302e-27	5.06430691314118e-25
EIF2C2	855.960298267892	-1.08549211336736	0.100686454386936	-10.780915069229	4.23650116608539e-27	5.4982639230207e-25
CYP27C1	56.7621056192339	-1.91863235330259	0.178130199607236	-10.7709549393254	4.72079144124303e-27	6.09010364132574e-25
CBX2	1162.62392294261	-1.64994478421614	0.15362493892279	-10.7400842323223	6.59841569696902e-27	8.46168260568456e-25
ACE2	67.2098886766358	-2.34371143896615	0.218235649009728	-10.7393610970574	6.65030061786182e-27	8.47775600658077e-25
CDCA2	471.936352412936	-1.30909986430667	0.122005215349124	-10.7298680680217	7.3701324906487e-27	9.34012555167856e-25
LOC727896	165.701205421866	-0.91734417339567	0.0855261104840797	-10.7258960825353	7.69376878447056e-27	9.69324881243472e-25
KCMF1	3738.30478863758	-0.501352923270524	0.0467582106406331	-10.7222435675254	8.00379246943668e-27	1.00252154047409e-24
GJB6	29.6721010692947	-2.71850787667078	0.253738175626006	-10.7138307823167	8.76578298331062e-27	1.09161866238407e-24
DKC1	4653.89518391239	-0.615740000978482	0.0574914636127218	-10.7101117676578	9.12515789548443e-27	1.12984138908228e-24
RDH10	2464.90300520544	-1.54173742441906	0.14423139801036	-10.689332875414	1.14189362351089e-26	1.40576892713821e-24
PIR	285.701275301828	-1.15191853639925	0.1080830175041	-10.6577199915385	1.60483486497275e-26	1.96446376880528e-24
GCLM	1033.47002360712	-0.819813072500075	0.0770526111971091	-10.6396533454642	1.94852921809411e-26	2.37170132624969e-24
ASCC1	1558.46798526454	-0.513084252333667	0.0482495860367094	-10.6339617492946	2.07122718176129e-26	2.50688305639693e-24
MAPRE1	7730.81770803061	-0.460548824896484	0.0433173717746699	-10.6319660225968	2.11603969463807e-26	2.54681336208282e-24
HSPD1	12867.4264852652	-0.731208464363355	0.068800159378062	-10.6280053850647	2.2078386795209e-26	2.64253758397768e-24
HTATIP2	1920.7800198618	-0.878018317428708	0.0826724797224279	-10.6204425024706	2.39423457459401e-26	2.84980053453334e-24
CCNA2	1254.85648511822	-1.21302864321101	0.114315191011971	-10.6112637565727	2.64151793313378e-26	3.12686056876012e-24
RASGEF1C	43.3823861629035	-2.38653601348941	0.22506730864534	-10.6036546482639	2.8655839455323e-26	3.37355959139606e-24
NKX1-2	4.8438178398775	-3.50287008309098	0.330762633341301	-10.5902835749784	3.30588842841826e-26	3.87076414683929e-24
GPT2	2209.22097106251	-1.1077304013763	0.104632566262986	-10.5868606776986	3.42899283417405e-26	3.99320116861869e-24
TRIP13	1059.99639002307	-1.12376822491704	0.106250730517603	-10.5765693980886	3.82715566931571e-26	4.43291622256654e-24
PPP3R1	4552.59323667574	-0.480917130057322	0.045529678083968	-10.5627175568953	4.43629230098233e-26	5.1109883065435e-24
VENTX	64.7736209355201	1.10935633916354	0.105156220703084	10.5496025983654	5.10123976429217e-26	5.8458036958463e-24
ULBP2	60.7850156902988	-1.5442542084122	0.146438072559024	-10.5454420522352	5.33215098901753e-26	6.07808787869808e-24
RIPK2	1693.5119446775	-0.767292015295835	0.0727869857323458	-10.5416099811763	5.55398367743853e-26	6.29763286035451e-24
GART	4504.03038847333	-0.552256757251783	0.0523946172031801	-10.5403338497578	5.6298685416971e-26	6.35025590902211e-24
SEPT3	827.716670654291	-1.57715139720243	0.149911077439934	-10.5205794270564	6.94451899330942e-26	7.79232902040928e-24
R3HDM1	2186.92683260003	-0.534511754295489	0.0508313144200611	-10.5154029635822	7.33665007052204e-26	8.18967819271124e-24
C15orf23	994.762684654226	-0.751105324304425	0.0714592838657435	-10.5109551015875	7.69106494626809e-26	8.54104655682472e-24
PDCD10	2298.62043768742	-0.546226227976719	0.0519747703468591	-10.5094495720023	7.81483179495687e-26	8.63398647131029e-24
SLC6A10P	113.410070057943	-1.44440512996518	0.137613814907048	-10.4960765090396	9.00453858552002e-26	9.89764180032874e-24
CIAPIN1	1476.65485021937	-0.522382291678588	0.0497958707056882	-10.4904740950522	9.55477500776381e-26	1.04491407496073e-23
ATOH8	229.11803449243	1.53313067483898	0.146222374433191	10.4849253117516	1.01325687907705e-25	1.10250536377959e-23
MASTL	1193.30679257026	-0.710486759719888	0.067774755463901	-10.4830589923458	1.03345873173602e-25	1.11883592545331e-23
ELF5	2150.57489256927	-2.60056127639248	0.248334014180188	-10.4720301203102	1.16125454965185e-25	1.25090340088497e-23
DDN	24.8524436626828	-1.74429620395158	0.166617130312734	-10.468888767185	1.20043875710758e-25	1.28667923299133e-23
UCHL1	948.268306131709	-1.72009132568157	0.164419269904697	-10.4616163706273	1.29625242311877e-25	1.3824981288946e-23
PSMB2	6367.22994613491	-0.583664319016631	0.0558005446885081	-10.4598319295051	1.32089758861513e-25	1.40184323394701e-23
CUL2	2671.79758380709	-0.480268106902933	0.0459401404795223	-10.4542150261167	1.40154517734493e-25	1.48014163238819e-23
KRT16P2	41.4631407914849	-2.76040029385972	0.264196839526295	-10.4482714434023	1.49220051314516e-25	1.56819355391216e-23
TENC1	5597.15969179858	0.757552282901112	0.0725445832661757	10.4425754314633	1.58452533111824e-25	1.65713658901026e-23
PGAM4	131.929594716714	-0.651941883712917	0.0624338973098497	-10.4421141688053	1.59224496413678e-25	1.65716548344747e-23
SLC22A31	28.0030259636929	-2.4287063447299	0.232953101162408	-10.4257308986699	1.8919902320602e-25	1.9596652672839e-23
PXDNL	220.381099736285	-1.90664727168712	0.182924410295336	-10.4231429179342	1.94420166665106e-25	2.00410912470481e-23
CENPI	234.411391979879	-1.14193383088761	0.109623550120393	-10.4168659894109	2.07684276002399e-25	2.12982128006918e-23
PRDX1	25199.8630111532	-0.666216104482456	0.0639580719584653	-10.4164507165741	2.08592782257054e-25	2.12982128006918e-23
DLL3	38.0234593772807	-2.35565617662449	0.226170168278263	-10.4154150591879	2.10875720009642e-25	2.14297476975836e-23
SELRC1	767.941329877725	-0.685892459478919	0.0658794526891846	-10.4113260126024	2.20133780748986e-25	2.2265550105428e-23
CCT8	10800.9107309659	-0.523574232130505	0.0502968098385664	-10.4096906704616	2.23948140867384e-25	2.25455081628361e-23
POLR2C	3231.41819715609	-0.436140820985826	0.0419143321094781	-10.4055295417006	2.33951696747112e-25	2.34430481614873e-23
GDI2	17253.9461941639	-0.519880161602267	0.0499743554658463	-10.4029388024337	2.40402339549032e-25	2.39779074224276e-23
C16orf57	2194.92022875243	-0.624980964717936	0.0601040889187933	-10.3983102640878	2.52368615183405e-25	2.50554352327708e-23
PPP1R8	2545.98049864464	-0.341175946841879	0.0328487065794879	-10.3862825166737	2.86295233081445e-25	2.82933234014066e-23
FAM193B	2379.44008355079	0.764750321375575	0.0736452752627867	10.3842414689433	2.92485011976123e-25	2.87730461096512e-23
TPX2	3926.75335380222	-1.1964802457272	0.115227851400321	-10.383602845899	2.94448833034931e-25	2.88345711768389e-23
SKA1	394.189225937935	-1.27305966035778	0.122637022856637	-10.3807123713855	3.03501961901003e-25	2.9586634693191e-23
NANP	505.893171396347	-0.529340849923988	0.0510013410930733	-10.3789594269293	3.09126083745683e-25	2.99991547216982e-23
DBF4	670.262073323107	-0.737964054960783	0.0711264200582575	-10.3753858883427	3.20913207959603e-25	3.10033818487968e-23
ERCC6L	358.085964529388	-1.08981514929031	0.105154937445459	-10.3638989833983	3.61902138959039e-25	3.48072307220247e-23
PTDSS1	5050.97077085821	-0.711630510013293	0.0687333914101479	-10.3534904274813	4.03501335007313e-25	3.86357011617669e-23
SLC25A13	1558.7465343425	-0.636231254948131	0.0615234341650357	-10.3412831806731	4.58358472715765e-25	4.36941368857896e-23
